"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"Burnbrae Farms Nestlaid Eggs Large 12 Count",NULL,"$5.49",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/f9804e96-1d01-4bb5-8366-4df67bb4003e/300x300.jpg","e643d9cd-3a25-4a87-b9d3-4c71bcdf6377","Burnbrae Farms"
"Burnbrae Farms Naturegg Omega 3 Brown Eggs Large 12 Count",NULL,"$6.29",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/46475b6a-a4a7-498b-a6f2-e30264e09167/300x300.jpg","e3a3b3da-6113-486a-9732-aa0cbc6ed6c8","Burnbrae Farms"
"Burnbrae Farms Naturegg Eggs Free Range Large 12 Count",NULL,"$7.39",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/410a5dbf-075b-414b-ae1e-e2d8ff92d194/300x300.jpg","840524e3-b455-482b-8c3c-1a4f32f6fb21","Burnbrae Farms "
"Burnbrae Farms Nature's Best Eggs Large 12 Count",NULL,"$5.79",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/00652318-c08f-40b4-a0f9-edccfed85ebd/300x300.jpg","53ec967f-2eb9-4279-a80b-941b809667f2","Burnbrae Farms"
"Golden Valley Born 3 Eggs Large 12 Count",NULL,"$6.29",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/2e72e84f-eed6-4e4a-b090-8e141635b8d5/300x300.jpg","6cca03b5-2cc8-49a3-b03b-c7943410ec3a","Golden Valley"
"Burnbrae Farms Naturegg Eggs Free Run Grade A Large 6 Count",NULL,"$3.99",6.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/8e4df4b1-a7d7-4800-8dc1-7a569a6b00e4/300x300.jpg","54f8d1ed-220c-4974-87d1-7311c1d85a44","Burnbrae Farms"
"Eggs2go Eggs Hard Boiled Salt & Pepper Medium 2 x 42 g",NULL,"$2.29",2.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/eb5fe4be-92ab-4726-b689-5c90872cc7d5/300x300.jpg","05fcabd0-03ea-4049-928d-c99ba2a8f4a8","EGGS2go"
"Maple Hill Farms Organic Eggs Free Range Large 12 Count",NULL,"$9.05",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/d637b3c7-805a-4ec0-add8-742c61c10fec/300x300.jpg","7442f04e-5721-4e9e-be53-b13ce9867e78","Maple Hill Farms"
"Hartmann White Eggs Jumbo 12 Count",NULL,"$4.39",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/ccbeef06-b688-4168-adb1-dd8dea702a25/300x300.jpg","f06ae4c1-8bea-454f-ae5a-14dc9c3a9894","Hartmann"
"Burnbrae Farms Naturegg Omega Plus Eggs Large 12 Count",NULL,"$5.99",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/4ec03ad7-b437-486a-a482-3c7876b6e285/300x300.jpg","b391cfb2-9258-4fb8-ac7d-6fbbdf6312e9","Naturegg"
"Canadian Harvest Brown Eggs Large 12 Count",NULL,"$6.09",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/d3f9b1cc-2b21-424c-9c6d-5aec634bb432/300x300.jpg","f0fc687f-dc32-4795-adc7-20dd04996116","Canadian Harvest"
"Burnbrae Farms Brown Eggs Large 12 Count",NULL,"$5.29",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/6479f210-ed75-47a7-a894-c7f35d9ce88e/300x300.jpg","67a08f49-165c-47f4-b1b3-d04f3f9ddedf","Burnbrae Farms"
